2018-06-21T20:52:31.045Z - info:   [09924] *** FOLDER: c:\Users\Dhakshanya\Documents\GitHub\quooda-poc ***
2018-06-21T20:52:31.060Z - info:   [09924] VSTSVSCode/1.136.0 (VSCode 1.24.1; Windows_NT 10.0.17134; Node 7.9.0)
2018-06-21T20:52:31.060Z - debug:  [09924] Looking for an External Context at c:\Users\Dhakshanya\Documents\GitHub\quooda-poc
2018-06-21T20:52:31.060Z - debug:  [09924] No External Context at c:\Users\Dhakshanya\Documents\GitHub\quooda-poc
2018-06-21T20:52:31.185Z - debug:  [09924] Looking for TFVC repository at c:\Users\Dhakshanya\Documents\GitHub\quooda-poc
2018-06-21T20:52:31.185Z - debug:  [09924] TFVC Creating Tfvc object with localPath='undefined'
2018-06-21T20:52:31.185Z - debug:  [09924] Using TFS proxy: 
2018-06-21T20:52:31.185Z - debug:  [09924] TFVC Retrieved from settings; localPath='C:\Program Files (x86)\Microsoft Visual Studio\2017\Enterprise\Common7\IDE\CommonExtensions\Microsoft\TeamFoundation\Team Explorer\tf.exe'
2018-06-21T20:52:31.185Z - debug:  [09924] TFVC Repository created with repositoryRootFolder='c:\Users\Dhakshanya\Documents\GitHub\quooda-poc'
2018-06-21T20:52:31.201Z - debug:  [09924] TFVC Repository.CheckVersion
2018-06-21T20:52:31.201Z - debug:  [09924] TFVC: tf add -noprompt -?
2018-06-21T20:52:31.404Z - debug:  [09924] TFVC: spawned new process (duration: 203ms)
2018-06-21T20:52:31.404Z - debug:  [09924] TFVC: spawned new process (duration: 0ms)
2018-06-21T20:52:44.137Z - debug:  [09924] TFVC: add exit code: 0 (duration: 12936ms)
2018-06-21T20:52:44.137Z - debug:  [09924] TFVC Minimum required version: 14.102.0
2018-06-21T20:52:44.137Z - debug:  [09924] TFVC (TF.exe, TF.cmd) version: 15.123.27127.4
2018-06-21T20:52:44.137Z - debug:  [09924] TFVC Repository.FindWorkspace with localPath='c:\Users\Dhakshanya\Documents\GitHub\quooda-poc'
2018-06-21T20:52:44.137Z - debug:  [09924] TFVC: tf workfold -noprompt ********
2018-06-21T20:52:44.153Z - debug:  [09924] TFVC: spawned new process (duration: 16ms)
2018-06-21T20:52:46.437Z - debug:  [09924] TFVC: workfold exit code: 100 (duration: 2300ms)
2018-06-21T20:52:46.440Z - debug:  [09924] TFVC errors (via stderr): Unable to determine the workspace. You may be able to correct this by running 'tf workspaces /collection:TeamProjectCollectionUrl'.

2018-06-21T20:52:46.442Z - error:  [09924] Execution of the TFVC command line failed unexpectedly.
